,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,WeekendPremium,WeekendPremiumPct
summit_elev,1.0,0.7085008703628134,0.9803238800510723,0.2574156170296604,0.16885843520912588,0.34071927356867293,-0.02765871729107083,0.12986820807983027,0.03987464346368656,-0.277257345172998,0.11558618982478036,0.5591270446484086,0.05526936640696865,0.4672630595322039,0.5721747307368276,0.3202688943029127,0.3886359999495587,0.18403492346155298,0.6986440773330765,0.5324690227637706,0.4300485037227883,0.38321527326305005,0.16911702833100814,-0.3938260778723258,-0.371107715111172
vertical_drop,0.7085008703628134,1.0,0.5605239558976153,0.5293407011547441,0.28549306183642675,0.5989468290491441,0.12309612449080395,0.201673029789664,0.11174160136972149,-0.1616454026607498,0.39308695071778127,0.8118977246074478,0.2821958780041524,0.7189325562050193,0.7005472569048444,0.5522651685940583,0.5179238069976648,0.14176111055798027,0.6659075560055101,0.7657893394460478,0.7132871402363038,0.5119760805008037,0.281436334325199,-0.3004574765469565,-0.32653157063089094
base_elev,0.9803238800510723,0.5605239558976153,1.0,0.1556673824244892,0.12681492140937486,0.23684129856726438,-0.06790433656296795,0.10139218489124675,0.020150677188950934,-0.27922899794325995,0.03207598602545299,0.43514627647107534,-0.008162576682095317,0.3553789071421516,0.4827880562807991,0.22134931484917228,0.31314965842525316,0.18224334165999392,0.6364950709569499,0.4176281174035756,0.31179046731033766,0.3129698151852582,0.09843317864452893,-0.38211661010137715,-0.34776808883060206
trams,0.2574156170296604,0.5293407011547441,0.1556673824244892,1.0,0.3917137799216656,0.6041301640018009,0.17372772640047685,0.22815885951029974,0.049022033598172844,0.10065098135991671,0.5490470545699648,0.6095941693126691,0.33157012064619684,0.5145225520680233,0.42994456307506296,0.569351250308639,0.36707854605141166,0.06314236843340729,0.23744404054414453,0.5797116434672954,0.5690150021974504,0.23265536616954918,0.10542028975693546,-0.13724933063462938,-0.1416141200622645
fastSixes,0.16885843520912588,0.28549306183642675,0.12681492140937486,0.3917137799216656,1.0,0.2626915000319448,0.04934750543892081,0.22311971055168556,0.021001849206047037,0.13044735812109023,0.3690548896873718,0.309338175223735,0.3924945304695152,0.22624828079293524,0.270304282212202,0.318115198141673,0.23835513908156233,0.08664434521331213,0.134984776325856,0.43545947889407194,0.4475954807912748,0.14465670607083805,0.09053178672927635,-0.04718307104637051,-0.09260178380158171
fastQuads,0.34071927356867293,0.5989468290491441,0.23684129856726438,0.6041301640018009,0.2626915000319448,1.0,0.19218658278539177,0.2559832087134332,0.04743164594165022,0.10265362129777486,0.6675796479577111,0.7227728595240422,0.4545070099076106,0.5057439479562722,0.5641118688247628,0.5818487651239311,0.4701485891121839,0.05208527594231475,0.3431832733609964,0.7385578648740428,0.7314449612298848,0.36799847972543526,0.2766544570335833,-0.15780739289786952,-0.19497229881563216
quad,-0.02765871729107083,0.12309612449080395,-0.06790433656296795,0.17372772640047685,0.04934750543892081,0.19218658278539177,1.0,0.08772985597488973,-0.11798715659410731,0.12611439884035477,0.41596984927244673,0.2756885528432493,0.26248814519666847,0.14106651827355318,0.1402435907770529,0.3425320844558224,0.251476704529777,0.05578803035184223,0.08048064082093968,0.2732828359351397,0.32884598610844673,0.2567754889572671,0.2838648061062736,0.08596888682920821,-0.015440159976801999
triple,0.12986820807983027,0.201673029789664,0.10139218489124675,0.22815885951029974,0.22311971055168556,0.2559832087134332,0.08772985597488973,1.0,-0.09305526159805291,0.11992370265056604,0.5182854680339086,0.25704090345037967,0.350569061082664,0.16975584912741387,0.1819557212811057,0.33355443976708726,0.1776447414613042,0.07236059440215292,0.07498197275576492,0.31137842172272084,0.3469870344553196,0.1409310540770202,0.2004885815603745,0.03357637914841967,-0.05463402114056641
double,0.03987464346368656,0.11174160136972149,0.020150677188950934,0.049022033598172844,0.021001849206047037,0.04743164594165022,-0.11798715659410731,-0.09305526159805291,1.0,0.032019375750502274,0.3769164273969987,0.20852416110117772,0.169185293748073,0.08008054047447728,0.09897913140579215,0.13825198056793334,0.0691408972611143,0.14451203004546948,0.041084526384814135,0.12944243990266283,0.13589867273838327,0.09112475873249569,0.24211643807673963,-0.00019058063395200052,-0.02524058987112997
surface,-0.277257345172998,-0.1616454026607498,-0.27922899794325995,0.10065098135991671,0.13044735812109023,0.10265362129777486,0.12611439884035477,0.11992370265056604,0.032019375750502274,1.0,0.536887018656344,0.06388968983244192,0.33321900331430737,-0.07224832973032635,-0.037841676257847325,0.0026237406570778065,0.05897915400359935,-0.014488136143525378,-0.26893738429698694,-0.0005053371247878747,0.029569435453349405,0.034366023395248246,0.059750058828534236,0.08285792692938128,0.08899762196421455
total_chairs,0.11558618982478036,0.39308695071778127,0.03207598602545299,0.5490470545699648,0.3690548896873718,0.6675796479577111,0.41596984927244673,0.5182854680339086,0.3769164273969987,0.536887018656344,1.0,0.6445859638024769,0.6337442663813975,0.3666641178350088,0.41124410720666726,0.5842328071235074,0.41189654173018503,0.12740161114423731,0.1317839523797646,0.6165551149560107,0.654397255609379,0.3415540228427848,0.42701320226072553,-0.009774540581121796,-0.09600802394709891
Runs,0.5591270446484086,0.8118977246074478,0.43514627647107534,0.6095941693126691,0.309338175223735,0.7227728595240422,0.2756885528432493,0.25704090345037967,0.20852416110117772,0.06388968983244192,0.6445859638024769,1.0,0.4438624456670981,0.6785973695071259,0.7639009802170841,0.6485978469195033,0.5362347808233138,0.19251934575174295,0.5517745981102089,0.793772585072233,0.7569256886524985,0.5068259723898665,0.412018139607215,-0.2551706720308758,-0.28376284317717315
TerrainParks,0.05526936640696865,0.2821958780041524,-0.008162576682095317,0.33157012064619684,0.3924945304695152,0.4545070099076106,0.26248814519666847,0.350569061082664,0.169185293748073,0.33321900331430737,0.6337442663813975,0.4438624456670981,1.0,0.25914442414440253,0.2423908047155861,0.44202788990599456,0.27745901726583466,0.17359022231394045,0.045234855790872094,0.42672323007869806,0.4749141633596788,0.2092209001505182,0.25301258980283553,0.016656912554950987,-0.056649939123113474
LongestRun_mi,0.4672630595322039,0.7189325562050193,0.3553789071421516,0.5145225520680233,0.22624828079293524,0.5057439479562722,0.14106651827355318,0.16975584912741387,0.08008054047447728,-0.07224832973032635,0.3666641178350088,0.6785973695071259,0.25914442414440253,1.0,0.5232320005293194,0.5499471930763049,0.3519354864467113,0.16198052030729512,0.43499503386736554,0.6180197210072093,0.5796015458271048,0.36441861362623346,0.1576185221670742,-0.2343122108745446,-0.2643501958518934
SkiableTerrain_ac,0.5721747307368276,0.7005472569048444,0.4827880562807991,0.42994456307506296,0.270304282212202,0.5641118688247628,0.1402435907770529,0.1819557212811057,0.09897913140579215,-0.037841676257847325,0.41124410720666726,0.7639009802170841,0.2423908047155861,0.5232320005293194,1.0,0.47216755435839386,0.3906196660515697,0.0839193557018233,0.6345113715992606,0.5860494012647064,0.5277500663115224,0.37627785738240516,0.42445425646091656,-0.28531429646281004,-0.26572365721373487
Snow Making_ac,0.3202688943029127,0.5522651685940583,0.22134931484917228,0.569351250308639,0.318115198141673,0.5818487651239311,0.3425320844558224,0.33355443976708726,0.13825198056793334,0.0026237406570778065,0.5842328071235074,0.6485978469195033,0.44202788990599456,0.5499471930763049,0.47216755435839386,1.0,0.49172008229862385,0.13231154044257834,0.292110674678543,0.6790570474716717,0.6957644187291822,0.3926161801558672,0.5706189927726815,-0.08804806968497093,-0.17640120131188416
daysOpenLastYear,0.3886359999495587,0.5179238069976648,0.31314965842525316,0.36707854605141166,0.23835513908156233,0.4701485891121839,0.251476704529777,0.1776447414613042,0.0691408972611143,0.05897915400359935,0.41189654173018503,0.5362347808233138,0.27745901726583466,0.3519354864467113,0.3906196660515697,0.49172008229862385,1.0,0.15378382947057653,0.4365348409371152,0.5972744075434324,0.5966738045835657,0.8578109414443149,0.24973476255749605,-0.10138728265674844,-0.15235526821022274
yearsOpen,0.18403492346155298,0.14176111055798027,0.18224334165999392,0.06314236843340729,0.08664434521331213,0.05208527594231475,0.05578803035184223,0.07236059440215292,0.14451203004546948,-0.014488136143525378,0.12740161114423731,0.19251934575174295,0.17359022231394045,0.16198052030729512,0.0839193557018233,0.13231154044257834,0.15378382947057653,1.0,0.20088304334321466,0.16309140823444707,0.14677676121534028,0.14590172999925144,0.19407251606346393,-0.06253825464507072,-0.055876772477528903
averageSnowfall,0.6986440773330765,0.6659075560055101,0.6364950709569499,0.23744404054414453,0.134984776325856,0.3431832733609964,0.08048064082093968,0.07498197275576492,0.041084526384814135,-0.26893738429698694,0.1317839523797646,0.5517745981102089,0.045234855790872094,0.43499503386736554,0.6345113715992606,0.292110674678543,0.4365348409371152,0.20088304334321466,1.0,0.518310239478668,0.4372161665307468,0.48591048595762026,0.42806782012319444,-0.34178748301612605,-0.3490591545247071
AdultWeekday,0.5324690227637706,0.7657893394460478,0.4176281174035756,0.5797116434672954,0.43545947889407194,0.7385578648740428,0.2732828359351397,0.31137842172272084,0.12944243990266283,-0.0005053371247878747,0.6165551149560107,0.793772585072233,0.42672323007869806,0.6180197210072093,0.5860494012647064,0.6790570474716717,0.5972744075434324,0.16309140823444707,0.518310239478668,1.0,0.947590328718128,0.5534045033179049,0.3544075378293121,-0.3377129571024366,-0.43854282119134097
AdultWeekend,0.4300485037227883,0.7132871402363038,0.31179046731033766,0.5690150021974504,0.4475954807912748,0.7314449612298848,0.32884598610844673,0.3469870344553196,0.13589867273838327,0.029569435453349405,0.654397255609379,0.7569256886524985,0.4749141633596788,0.5796015458271048,0.5277500663115224,0.6957644187291822,0.5966738045835657,0.14677676121534028,0.4372161665307468,0.947590328718128,1.0,0.5296503707509334,0.3743655345017107,-0.0192957437177169,-0.162508836992762
projectedDaysOpen,0.38321527326305005,0.5119760805008037,0.3129698151852582,0.23265536616954918,0.14465670607083805,0.36799847972543526,0.2567754889572671,0.1409310540770202,0.09112475873249569,0.034366023395248246,0.3415540228427848,0.5068259723898665,0.2092209001505182,0.36441861362623346,0.37627785738240516,0.3926161801558672,0.8578109414443149,0.14590172999925144,0.48591048595762026,0.5534045033179049,0.5296503707509334,1.0,0.22617922671453025,-0.16668857329958625,-0.2137108525774142
NightSkiing_ac,0.16911702833100814,0.281436334325199,0.09843317864452893,0.10542028975693546,0.09053178672927635,0.2766544570335833,0.2838648061062736,0.2004885815603745,0.24211643807673963,0.059750058828534236,0.42701320226072553,0.412018139607215,0.25301258980283553,0.1576185221670742,0.42445425646091656,0.5706189927726815,0.24973476255749605,0.19407251606346393,0.42806782012319444,0.3544075378293121,0.3743655345017107,0.22617922671453025,1.0,0.013018114015090591,-0.09613968146207584
WeekendPremium,-0.3938260778723258,-0.3004574765469565,-0.38211661010137715,-0.13724933063462938,-0.04718307104637051,-0.15780739289786952,0.08596888682920821,0.03357637914841967,-0.00019058063395200052,0.08285792692938128,-0.009774540581121796,-0.2551706720308758,0.016656912554950987,-0.2343122108745446,-0.28531429646281004,-0.08804806968497093,-0.10138728265674844,-0.06253825464507072,-0.34178748301612605,-0.3377129571024366,-0.0192957437177169,-0.16668857329958625,0.013018114015090591,1.0,0.8936169350222024
WeekendPremiumPct,-0.371107715111172,-0.32653157063089094,-0.34776808883060206,-0.1416141200622645,-0.09260178380158171,-0.19497229881563216,-0.015440159976801999,-0.05463402114056641,-0.02524058987112997,0.08899762196421455,-0.09600802394709891,-0.28376284317717315,-0.056649939123113474,-0.2643501958518934,-0.26572365721373487,-0.17640120131188416,-0.15235526821022274,-0.055876772477528903,-0.3490591545247071,-0.43854282119134097,-0.162508836992762,-0.2137108525774142,-0.09613968146207584,0.8936169350222024,1.0
